State,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,8.33,11.11,11.11,11.11,15.74,29.17,29.17,39.35,46.76,46.76,46.76,46.76,52.31,52.31,52.31,52.31,56.94,56.94,56.94,56.94,56.94,56.94,59.72,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,64.35,64.35,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,52.31,42.59,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,34.26,34.26,34.26,34.26,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,NA,NA,NA,NA
Alaska,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,13.89,13.89,13.89,37.5,51.39,56.02,56.02,56.02,56.94,66.2,66.2,67.59,67.59,67.59,67.59,82.41,82.41,82.41,82.41,82.41,82.41,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,59.26,59.26,59.26,59.26,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,58.33,58.33,58.33,58.33,58.33,58.33,58.33,50,50,50,41.67,41.67,41.67,41.67,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,38.89,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,43.98,43.98,43.98,43.98,43.98,43.98,43.98,43.98,43.98,43.98,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,51.39,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,47.69,NA,NA,NA,NA,NA
Arizona,0,0,0,0,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,16.67,22.22,22.22,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,58.33,58.33,58.33,58.33,58.33,58.33,58.33,56.48,45.37,45.37,45.37,45.37,45.37,45.37,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,31.48,31.48,31.48,31.48,31.48,31.48,25.93,25.93,25.93,25.93,25.93,25.93,25.93,25.93,25.93,25.93,25.93,25.93
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,7.41,14.35,14.35,14.35,23.15,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,43.52,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,37.96,37.96,37.96,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,NA,NA,NA,NA,NA,NA
California,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,17.59,17.59,17.59,17.59,32.41,32.41,34.26,34.26,34.26,39.81,56.48,62.04,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,NA,NA,NA,NA
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,15.28,15.28,15.28,25.46,39.35,39.35,39.35,49.07,49.07,49.07,49.07,50.93,66.67,66.67,73.15,73.15,73.15,75.93,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,79.63,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,50,50,50,50,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,44.91,NA,NA,NA,NA
Connecticut,0,0,0,0,0,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,19.44,25,25,30.56,34.26,34.26,34.26,44.44,46.3,46.3,47.69,47.69,47.69,56.94,60.65,60.65,60.65,64.81,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,70.37,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,65.28,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,54.63,54.63,54.63,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,60.19,60.19,60.19,60.19,60.19,58.33,58.33,58.33,58.33,58.33,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,56.48,NA,NA,NA,NA
Delaware,0,0,0,0,0,0,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,13.89,13.89,13.89,13.89,13.89,13.89,13.89,17.59,17.59,17.59,23.15,28.7,28.7,28.7,61.11,61.11,66.67,66.67,66.67,66.67,66.67,66.67,70.37,70.37,70.37,70.37,70.37,70.37,75.93,75.93,75.93,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,63.89,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,56.48,56.48,56.48,56.48,56.48,56.48,56.48,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,NA,NA,NA,NA
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,5.56,5.56,5.56,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,22.22,25,25,25,42.59,58.8,54.17,54.17,60.65,60.65,60.65,60.65,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,76.39,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,71.76,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,64.35,64.35,64.35,64.35,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,50.46,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,46.76,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,43.06,34.72,34.72,34.72,34.72,34.72,34.72,29.17,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,32.41,32.41,32.41,32.41,32.41,39.81,39.81,39.81,39.81,39.81,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,51.85,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,59.26,62.04,62.04,62.04,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,57.41,50,50,50,50,50,50,50,50,50,50,50,50,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,44.44,42.59,42.59,42.59,42.59,42.59,42.59,42.59,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,40.74,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,42.59,43.52,43.52,43.52,43.52,43.52,43.52,43.52,43.52,NA,NA,NA,NA
